Date,Auto Total (kWh),Auto Home (kWh),Auto Supercharger (kWh),Auto Other (kWh)
2022-02-01,171,171,0,0
2022-03-01,121,121,0,0
2022-04-01,146,146,0,0
2022-05-01,105,105,0,0
2022-06-01,103,103,0,0
2022-07-01,137,137,0,0
2022-08-01,118,118,0,0
2022-09-01,226,226,0,0
2022-10-01,78,78,0,0
2022-11-01,93,93,0,0
2022-12-01,152,152,0,0
2023-01-01,59,59,0,0
2023-02-01,98,98,0,0
2023-03-01,116,116,0,0
2023-04-01,70,70,0,0
2023-05-01,153,153,0,0
2023-06-01,86,86,0,0
2023-07-01,161,137,24,0
2023-08-01,1076,97,952,27
2023-09-01,65,65,0,0
2023-10-01,301,125,142,33
2023-11-01,187,126,0,60
2023-12-01,135,135,0,0
2024-01-01,100,100,0,0
2024-02-01,88,88,0,0
2024-03-01,123,123,0,0
2024-04-01,292,200,77,15
2024-05-01,128,128,0,0
