Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2021-09-01T01:00:00-07:00,29.3,11.2,65.3,0.2,33.9
2021-09-02T01:00:00-07:00,35.0,15.6,63.6,0.2,32.8
2021-09-03T01:00:00-07:00,37.9,16.1,45.5,0.2,3.9
2021-09-04T01:00:00-07:00,17.9,6.9,40.1,0.1,10.4
2021-09-05T01:00:00-07:00,18.7,5.5,39.9,0.1,19.8
2021-09-06T01:00:00-07:00,18.7,5.0,48.8,0.1,27.7
2021-09-07T01:00:00-07:00,20.0,5.3,59.7,0.1,38.2
2021-09-08T01:00:00-07:00,29.3,9.0,56.1,0.1,28.3
2021-09-09T01:00:00-07:00,40.0,19.4,47.8,0.2,12.7
2021-09-10T01:00:00-07:00,25.0,14.2,15.7,0.2,0.2
2021-09-11T01:00:00-07:00,36.2,20.0,37.3,0.2,0.2
2021-09-12T01:00:00-07:00,33.3,12.8,23.1,8.1,0.2
2021-09-13T01:00:00-07:00,55.3,16.6,50.1,14.0,0.2
2021-09-14T01:00:00-07:00,25.4,14.3,18.9,2.8,0.2
2021-09-15T01:00:00-07:00,18.5,5.7,27.5,3.9,0.1
2021-09-16T01:00:00-07:00,29.6,12.4,53.2,0.2,9.9
2021-09-17T01:00:00-07:00,22.3,14.4,13.7,0.1,0.1
2021-09-18T01:00:00-07:00,18.3,10.4,23.3,0.2,0.2
2021-09-19T01:00:00-07:00,32.3,17.3,32.3,0.3,0.3
2021-09-20T01:00:00-07:00,32.7,16.2,52.3,0.2,10.8
2021-09-21T01:00:00-07:00,33.0,10.2,55.0,0.1,11.0
2021-09-22T01:00:00-07:00,13.4,7.5,27.2,0.1,12.5
2021-09-23T01:00:00-07:00,23.6,11.7,49.4,0.2,23.2
2021-09-24T01:00:00-07:00,20.0,8.7,52.3,0.1,32.4
2021-09-25T01:00:00-07:00,30.1,16.1,49.5,0.2,24.5
2021-09-26T01:00:00-07:00,23.4,15.9,12.1,0.2,0.2
2021-09-27T01:00:00-07:00,15.3,10.5,14.9,0.2,0.2
2021-09-28T01:00:00-07:00,15.6,8.0,30.9,3.4,0.1
2021-09-29T01:00:00-07:00,12.6,8.3,12.3,0.2,0.2
2021-09-30T01:00:00-07:00,20.0,15.3,7.0,1.2,0.2
